,ANOVA statistic (Batch Effect),ANOVA Pval (Batch Effect),Proportion of Variance (Batch Effect),Kruskal-Wallis statistic (Batch Effect),Kruskal-Wallis Pval (Batch Effect)
B Cells.R15_Program1,1.3401146924431728,0.2748572670519345,0.1587792039891401,9.676212904439796,0.503355024447346
B Cells.R15_Program2,0.3782358945718323,0.9522158162863477,0.050578224584541316,3.6164584780405593,0.96954634566639
B Cells.R15_Program3,0.8758885390777766,0.5956771929384767,0.10981704856911811,4.856982556360267,0.9255391211207398
B Cells.R15_Program4,0.7995350618347363,0.6560496341210287,0.10121292653001242,4.013144119372748,0.9597212863977398
B Cells.R15_Program7,1.2049403860424026,0.347427398464711,0.14508718064580822,10.800953075004827,0.4153286394418932
B Cells.R15_Program8,0.5045439252323953,0.8873767822175626,0.06634769030109541,4.543163449838664,0.9385613501373553
B Cells.R15_Program10,7.066950967920127,5.682526020974135e-07,0.4988335869816057,25.495810055865913,0.008612579561189512
B Cells.R15_Program12,1.0832946465915954,0.42698542901575687,0.1323787903742163,8.113450800365648,0.6577547492618668
B Cells.R15_Program13,0.5776119106833275,0.844008192535614,0.07523327792585945,1.9520675925818332,0.9966944842192259
B Cells.R15_Program14,1.3273304846343694,0.27996607417870994,0.15750307728580284,13.322137638684094,0.2441576620353761
B Cells.R15_Program15,0.7352723099499072,0.708087342607145,0.09384132176442608,7.826449636540851,0.6778447760635351
Endothelial Cells.R25_Program1,12.444552065967695,3.6639724003424035e-11,0.6367274125272483,47.189244784014136,4.965371873068634e-06
Endothelial Cells.R25_Program2,1.824288562722278,0.1001347450216653,0.20441837463016707,14.916544225683197,0.16949042472320197
Endothelial Cells.R25_Program3,8.952554971898422,1.3816817083492812e-08,0.5577028072833733,47.75984425506908,4.233890835344805e-06
Endothelial Cells.R25_Program5,3.2903897558330955,0.0033769094220267386,0.31667625884639145,27.977960622979708,0.0038479448761040346
Endothelial Cells.R25_Program6,1.9129024594370734,0.08085468033020934,0.21224044840673323,15.362621216573643,0.15232513935223838
Endothelial Cells.R25_Program7,2.8524515869171427,0.00908761619230995,0.2866079339352722,25.01777843079634,0.009705709525416597
Endothelial Cells.R25_Program8,83.66150854112897,4.843250363606127e-33,0.9217730058245714,73.66948280928591,8.620399573948974e-10
Endothelial Cells.R25_Program9,1.1040072890514812,0.4131983315568264,0.13456927208302402,10.2832059947105,0.4494100352701369
Endothelial Cells.R25_Program10,2.327083337298059,0.029476997287337436,0.2468508290460319,19.090508374963235,0.054631595415236704
Endothelial Cells.R25_Program11,0.8949856550153493,0.5815890598865473,0.11194337221279617,18.78372024684103,0.05961126011804977
Endothelial Cells.R25_Program12,10.12193457263017,1.806573263062336e-09,0.5877350497380462,45.10035263003232,9.95857211568153e-06
Endothelial Cells.R25_Program13,3.7688727390080254,0.0010114759339178339,0.34675838327572517,36.06288568909781,0.00023827104037295142
Endothelial Cells.R25_Program14,16.648822104599024,7.159716049151852e-14,0.7010378043707244,53.99566558918599,5.534391831590595e-07
Endothelial Cells.R25_Program15,11.71077840215511,1.2261647746049417e-10,0.6225568209773515,50.70166029973558,1.7257821427487425e-06
Endothelial Cells.R25_Program16,8.349704177927027,4.279194038622798e-08,0.5404442752927424,41.527549221275365,3.7403200447299175e-05
Endothelial Cells.R25_Program17,34.31214082616242,6.6849751071796185e-22,0.8285526935252157,66.50830149867767,7.709977126901107e-09
Endothelial Cells.R25_Program18,8.477810208024517,3.394370167170198e-08,0.544223488077765,51.21378195709667,1.4751340583367284e-06
Endothelial Cells.R25_Program19,2.4277365638107264,0.023670241825368782,0.25480727217333193,17.628709961798393,0.08207894722666703
Endothelial Cells.R25_Program20,31.703495385058666,5.4670663696374156e-21,0.81702679283027,64.55884513664415,9.106088658680188e-09
Endothelial Cells.R25_Program21,2.917489495985984,0.008265134501396829,0.291239586241146,20.375404055245383,0.03685114419155107
Endothelial Cells.R25_Program22,1.6883304644595107,0.13386953430840523,0.192110489163694,17.89075815456954,0.07646836247125642
Endothelial Cells.R25_Program23,4.489170799710092,0.00019313930993633294,0.3873591025013101,28.84631207757866,0.0028717457582022785
Endothelial Cells.R25_Program24,1.1811330606147399,0.35936119355279206,0.1426294025188698,11.51454598883339,0.360236811769624
Endothelial Cells.R25_Program25,3.0503126214545864,0.00595818371520401,0.30051415510170393,22.799808992065834,0.018719771207323457
Fibroblasts.R24_Program1,4.263897401194633,0.00030237582105439734,0.37521435214175636,25.172788715838976,0.009418483540193133
Fibroblasts.R24_Program2,7.794921989759847,1.298078943226732e-07,0.5233274800041786,48.52211284161035,3.6869817403564737e-06
Fibroblasts.R24_Program3,1.42159783112859,0.23274607939508785,0.16682291975052232,11.664634146341427,0.3507919492820092
Fibroblasts.R24_Program4,51.96260440181275,5.667925718164844e-27,0.8797885722800588,71.96525124889803,9.116663481939909e-10
Fibroblasts.R24_Program5,1.4268057009552577,0.23193335014333324,0.167331794694866,15.073244196297367,0.16370347775793515
Fibroblasts.R24_Program6,3.253825981543174,0.0036670558655834276,0.3142631513552067,27.98875991771962,0.0038479448761040346
Fibroblasts.R24_Program7,7.77872694141048,1.3021356551554654e-07,0.5228086362523883,43.408830443726174,1.776845035126688e-05
Fibroblasts.R24_Program8,1.0590009488085563,0.44402533087246787,0.12979541924960805,11.316411989421056,0.3738163363629458
Fibroblasts.R24_Program9,1.6051053608971704,0.1594484224066871,0.18438666671482354,18.369673817220132,0.06720140832355974
Fibroblasts.R24_Program10,0.9386224852858746,0.544301211240058,0.11676409571465213,13.475830149867761,0.23856917785449114
Fibroblasts.R24_Program11,2.8712332317670404,0.008753470909227611,0.2879516670635752,20.69284454892744,0.03420143563288216
Fibroblasts.R24_Program12,4.1835659009318,0.00036584012413896986,0.37076629300195957,44.410299735527474,1.2456630171126946e-05
Fibroblasts.R24_Program13,4.3410203012557105,0.00026159086226122105,0.3794259766132275,32.506097560975604,0.0008060786302594142
Fibroblasts.R24_Program14,2.2994144188362826,0.030906727588658298,0.24463379487006032,44.290993241257695,1.2702760956093227e-05
Fibroblasts.R24_Program15,5.061821911004293,4.944853015191541e-05,0.4162058898777527,37.341610343814295,0.0001522746716986696
Fibroblasts.R24_Program16,6.518348932747479,1.8204420053096386e-06,0.4786445820222065,39.94725242433145,6.847585249698826e-05
Fibroblasts.R24_Program18,2.7093926992928936,0.011843647905668676,0.2762039182597103,26.16522186306196,0.006862940402750221
