SPECTRA_factor,mean,std,dip_statistic,dip_p_value,skewness,kurtosis,cell_type,ANOVA statistic (Batch Effect),ANOVA Pval (Batch Effect),Kruskal-Wallis statistic (Batch Effect),Kruskal-Wallis Pval (Batch Effect),Proportion of Variance (Batch Effect),significant_batch_effect
0-X-global-X-all_chondroitine-and-heparan-sulfate_synthesis,5.1783437468373845e-05,0.0001095543987926,0.059599851516871,0.0,3.188353896767389,16.281419666813175,global,2.101987448941785,0.21974863208094267,18.51711724948575,0.1663604482242669,0.22842755009229126,False
1-X-global-X-all_retinol_metabolism,4.902537612098044e-05,0.0001126708374591,0.0613103369066543,0.0,6.395497457681289,229.74562649280745,global,2.268842896363673,0.19073406313101401,18.37077578607108,0.16900572480206624,0.24216895527667334,False
2-X-global-X-all_RIG-I-like-receptor_signaling,0.0007197190495319,0.0012794716473578,0.0737858733919286,0.0,6.209811628743641,83.47214648283924,global,1.738385636467679,0.3154177526230361,17.19806053482222,0.1972760415747584,0.196685877712215,False
3-X-global-X-all_propanoate_metabolism,0.0004151867116198,0.0009152855201123,0.0920160367820419,0.0,6.471266626692105,76.23743208967203,global,2.129317082030494,0.21974863208094267,15.365853658536594,0.25388536406362466,0.23071231198419656,False
4-X-global-X-all_p53-signaling,0.0008846209884139,0.0015816100699629,0.0567586981110877,0.0,6.020324745165541,70.24199757439293,global,3.0539004838133526,0.09306884881277344,24.35527475756686,0.11407459787495611,0.30076131715902377,False
5-X-global-X-all_reticulophagy,9.394822738513156e-05,0.0003188525510839,0.0492639572350831,0.0,10.754468931118456,257.23575070437374,global,2.2939656695386974,0.187693930883742,20.813326476638224,0.14186952153411447,0.24419566243223728,False
6-X-global-X-all_circadian-rhythm,0.0005271106894085,0.0009830387844666,0.0826744255754873,0.0,6.418909493362352,84.78984052419446,global,2.4888531170126678,0.15726981646946603,18.855568615927098,0.16259082604706798,0.2595569132868364,False
7-X-global-X-all_VAL-LEU-ILE_metabolism,9.183115653847124e-05,0.0001763196215685,0.0622849681899027,0.0,5.863568003668614,124.90907376616764,global,2.3068541055456655,0.18767786084097338,18.210329121363486,0.17140932050775035,0.24523119840730764,False
8-X-global-X-all_taurine-hypotaurine_metabolism,0.0003991352170925,0.0008461243746761,0.074796855412758,0.0,5.451864827500104,51.126175269510746,global,1.4451394264853326,0.41463629307154504,12.881428151630871,0.3701168910677009,0.16911829688889313,False
9-X-global-X-all_autophagy-peroxisome,0.0008575433180426,0.0014755839037585,0.0623986646724888,0.0,6.078776614783718,77.60532456925849,global,3.772145415620656,0.055327205278649455,27.232074640023484,0.11407459787495611,0.3469550186664162,False
10-X-global-X-all_transmembrane-transport-ER,0.0009277113048059,0.0013372794792475,0.0077721650528776,0.0,3.915695266048016,32.04077486821892,global,1.5304111801945726,0.3865358876873118,15.512709374081737,0.2484042416537699,0.1773277249763747,False
11-X-global-X-all_macroautophagy,0.0002927084170653,0.0015547721043247,0.0282411671906868,0.0,12.036913342087557,244.2958329493128,global,1.5777140737709572,0.36916623304565094,17.193799588598267,0.1972760415747584,0.1818121754598618,False
12-X-global-X-all_riboflavin_metabolism,0.0001547049113576,0.0012117847079802,0.0231817076652018,0.0,19.00055661843888,616.5000822026026,global,1.2604863920703802,0.48585185949737203,12.230164560681771,0.4094645778358998,0.1507671124572257,False
13-X-global-X-all_SASP,0.0001731190444573,0.0013288037616697,0.0351767152443555,0.0,25.93333907987329,1162.1870502948825,global,1.8676879636326167,0.2721219262333738,13.960255656773484,0.3122929645516563,0.20826861630409102,False
14-X-global-X-all_histone-methylation,0.0003302103432752,0.0005720750859078,0.0224277720008556,0.0,5.698042210171165,85.86595970306196,global,1.60544164709176,0.3602553639407254,14.415809579782547,0.2941977124864797,0.1844181733879168,False
15-X-global-X-all_TNF-via-NFkB_signaling,0.0007917491561713,0.0019177583675716,0.0132759571907026,0.0,8.433857549260228,137.69917312090774,global,1.8075810922047126,0.2928441474651488,23.13855421686742,0.11890540086661358,0.20292614498750736,False
16-X-global-X-all_iron-uptake-and-storage,0.0027623431612819,0.0049775319168193,0.0319717906115489,0.0,7.251389570776097,93.12461407486674,global,1.5217710640715025,0.3892926571496225,16.70107258301499,0.21093806193502643,0.1765033022522485,False
17-X-global-X-all_n-glycan_synthesis,0.0002542482649889,0.0003987929671192,0.0424813477472115,0.0,4.017273822870377,37.85483659552642,global,2.4769386473211443,0.1577701249910755,20.229797237731418,0.14637591538568562,0.25863574348092877,False
18-X-global-X-all_transmembrane-transport-golgi,4.429031874027256e-05,9.888119040664349e-05,0.0655803322034356,0.0,3.117195068929953,15.07129708600915,global,2.7362562958188343,0.12178865755003246,22.077505142521318,0.1268229058737926,0.27818066279768994,False
19-X-global-X-all_PHE_metabolism,0.0002788805884476,0.0004750377471747,0.1102880600427686,0.0,5.97912141502028,99.06932233216176,global,1.52240841965537,0.3892926571496225,12.16757272994414,0.4127635485515432,0.1765641739012195,False
20-X-global-X-all_riboflavin_metabolism,0.0025259996138154,0.0045556737988118,0.0042047631666337,0.0,5.56098324106735,62.58014735776773,global,3.2098727420411612,0.07850831979979715,26.43828974434325,0.11407459787495611,0.3113397053827909,False
21-X-global-X-all_polyamines_metabolism,0.0001990487903435,0.0003397263596025,0.0771580662068409,0.0,6.903297019118909,200.5290530942855,global,1.9403961885582484,0.2538472692527695,14.338010578900992,0.2966774025113149,0.214636189397768,False
22-X-global-X-all_PI3K-AKT-mTOR_signaling,0.0025324833080398,0.0095978263931004,0.0878047110396044,0.0,8.478252424999454,116.38026389859932,global,1.6684335269461372,0.3380895381103356,8.688583602703488,0.6650927447978736,0.19027726238887482,False
23-X-global-X-all_inositol-phosphate_metabolism,0.0001390611144854,0.000273843838814,0.0494763512573123,0.0,6.833726295623114,128.3822012085344,global,1.9370253230756613,0.2544041590444964,17.006097560975604,0.2013276599475801,0.21434324391340911,False
24-X-global-X-24,0.0018052641651082,0.0038761116704293,0.0054630353660856,0.0,8.704860994669328,185.36225548711224,global,1.689521950336855,0.33364802429717605,18.84748751101972,0.1627056938048088,0.19222000466954914,False
25-X-global-X-all_wnt-beta-catenin-signaling,0.0003157228594419,0.0007807502956529,0.0777637160792051,0.0,6.782192721711866,79.9608225906408,global,2.9482306968866654,0.10104432031544719,19.536438436673507,0.1538656071981694,0.29340794273365384,False
26-X-global-X-all_lactate_production,0.000845498344584,0.0012605728956212,0.010909447246501,0.0,3.554167386958337,24.248108743270425,global,2.942544061023354,0.10104432031544719,22.360564208051755,0.12608101213483122,0.2930078317947159,False
27-X-global-X-all_complement_production,0.0004856309453444,0.0027422701083519,0.0297930356799863,0.0,11.354923832172746,193.08817238065745,global,1.6956346721622988,0.3307949840503207,17.09263884807524,0.19860195893233315,0.19278138933269812,False
28-X-global-X-all_n-glycan_degradation,4.837354598376847e-05,0.0001028731628542,0.073700703729994,0.0,3.171871750844626,16.578531488864744,global,2.279188742103124,0.1890626492520444,19.861739641492818,0.15171287541673936,0.24300489144352738,False
29-X-global-X-29,0.0003910982688364,0.0017501314161827,0.0335472629409328,0.0,10.385430512203934,172.32660111699968,global,1.5405892323204577,0.38119660976552144,16.709594475462836,0.21066917535195914,0.1782967794091894,False
30-X-global-X-all_glycogenesis,0.0008311846292968,0.0011416066843546,0.0302245926308127,0.0,4.771994324944259,95.69348426297728,global,2.4822320790463097,0.15726981646946603,17.81604466647076,0.17825570540112098,0.2590452890902386,False
31-X-global-X-all_heparan-sulfate_degradation,0.0001955494678641,0.0003020597207214,0.035778087364109,0.0,3.163402632655913,19.52871970605192,global,2.2999875095253697,0.18767786084097338,21.455113135468707,0.13619890283897831,0.24467984741412727,False
32-X-global-X-all_creatinine_metabolism,0.0001551106624297,0.0004414611437804,0.0167133542082225,0.0,7.781024395224074,115.16801216612863,global,2.5909176234068556,0.1470173455774252,21.281222450778728,0.1376540805332258,0.2673552416903132,False
33-X-global-X-all_GPI-anchor_synthesis,0.000106034192181,0.0001767022280033,0.0743119530714687,0.0,3.038195513366481,16.59139883433902,global,2.5663972559364856,0.14987827484334837,22.00242433147224,0.1287239769975385,0.2654967707188288,False
34-X-global-X-all_type-II-ifn-response,0.0008498499585759,0.0025970492438755,0.0445582525634286,0.0,8.710166159932744,155.84719094638882,global,1.8191205570893527,0.2894840748682837,21.331325301204856,0.1375178840788762,0.2039573908038979,False
35-X-global-X-all_glycogenolysis,0.00012705070418,0.0003362774246826,0.0305030508864714,0.0,23.636287349972125,1453.33863758095,global,0.9417932571595371,0.6554839514637553,17.271231266529583,0.19435366248913402,0.11711234385702056,False
36-X-global-X-all_G2M-transition,0.000328623838685,0.0005119252809542,0.0282578463856592,0.0,3.238017189065041,20.112945600810708,global,2.07762298269782,0.2253444117342907,15.694754628269152,0.2419184950001992,0.22637920370172904,False
37-X-global-X-all_IL6-JAK-STAT3_signaling,0.0003063556185218,0.0007699837386253,0.0692022320630298,0.0,6.948314681213078,86.35813351331774,global,1.362317377978983,0.4477503874934528,14.66434028798119,0.28467118907335875,0.1609863252735079,False
38-X-global-X-all_MHC-II-presentation,0.0014409187051933,0.0046172790615637,0.0585734606803641,0.0,9.77974477984881,170.36044749457318,global,2.273711133826624,0.1890626492520444,24.618057596238657,0.11407459787495611,0.24256253487709392,False
